tag_id,index,year,month,day,AM91,AM91,AM91,AM93,AM93,AM93,AM99,AM99,AM99
,,,,,latitude,longitude,temperature,latitude,longitude,temperature,latitude,longitude,temperature
0,137,2007,12,28,-24.28142177777778,31.801261555555552,29.866666666666667,-24.297916,31.796442000000003,25.8,-24.257130851063827,31.840964468085104,30.319148936170212
1,138,2007,12,29,-24.30284553191489,31.81412,29.638297872340427,-24.302598333333336,31.812618333333333,27.22222222222222,-24.250856521739127,31.847335434782607,28.630434782608695
2,139,2007,12,30,-24.303169166666667,31.793723749999998,29.625,-24.30349357142857,31.789092857142858,29.428571428571427,-24.264671162790698,31.852212558139538,28.767441860465116
3,140,2007,12,31,-24.27979804347826,31.784006739130433,31.91304347826087,-24.28484416666667,31.783870833333335,29.416666666666668,-24.259370465116277,31.853246279069765,30.302325581395348
4,141,2008,1,1,-24.27215875,31.804916458333334,29.6875,-24.27473857142857,31.806779999999996,30.61904761904762,-24.237250666666665,31.837645555555557,32.6
5,142,2008,1,2,-24.287089374999997,31.810867083333335,32.479166666666664,-24.276722,31.808553,29.7,-24.23559288888889,31.818616,31.022222222222222
6,143,2008,1,3,-24.252902083333336,31.788112708333333,30.375,-24.25220125,31.78564375,30.4375,-24.20595891304348,31.790958043478263,30.543478260869566
7,144,2008,1,4,-24.296577083333332,31.77976,29.604166666666668,-24.297789047619048,31.77663523809524,28.285714285714285,-24.208072195121954,31.78625,28.853658536585368
8,145,2008,1,5,-24.278389166666667,31.772047083333334,31.041666666666668,-24.277705384615384,31.772776153846152,29.923076923076923,-24.258861219512195,31.799094146341464,30.536585365853657
9,146,2008,1,6,-24.247973260869568,31.782330434782608,31.73913043478261,-24.243084666666668,31.783948666666667,29.6,-24.227830425531916,31.805510212765956,30.27659574468085
10,147,2008,1,7,-24.2253514893617,31.77574574468085,31.53191489361702,-24.22177866666667,31.776358333333334,30.5,-24.19730477272727,31.811472045454547,31.704545454545453
11,148,2008,1,8,-24.218311914893615,31.76731170212766,27.80851063829787,-24.223457500000002,31.7697425,28.35,-24.23458659574468,31.827063404255316,28.170212765957448
12,149,2008,1,9,-24.196909583333333,31.749987291666667,20.4375,-24.196313666666665,31.749169,20.166666666666668,-24.255996956521738,31.856081956521738,21.217391304347824
13,150,2008,1,10,-24.198472083333332,31.739321666666665,25.0,-24.194946470588235,31.740282058823528,26.647058823529413,-24.26742212765957,31.854703829787237,25.97872340425532
14,151,2008,1,11,-24.174477291666665,31.680173749999998,29.645833333333332,-24.173981,31.680397333333335,29.8,-24.240203243243243,31.84086189189189,29.43243243243243
